company_id,name,search_rating,review_count,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
87481,(주)케이티에스씨,1.8,64,1.8,1.6,2.2,1.8,1.5,1.5,13%,15%,2%,티에스씨
41238,닛소남해아그로(주),4.0,2,4.0,3.5,4.0,3.0,2.5,3.0,50%,50%,0%,닛소남해아그로
28243,서진금속,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,100%,100%,100%,서진금속
142345,와이티피건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,와이티피건설
134424,재보건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,재보건설
4510,프리코어,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,프리코어
43755,(주)금강,2.2,419,2.2,2.3,2.2,1.9,2.1,1.7,13%,17%,2%,금강
95976,레오건설(주),2.0,2,2.0,2.0,2.5,3.0,2.5,3.0,0%,0%,100%,레오건설
122191,동륭실업(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,동륭실업
189056,삼우티이에스(주),1.6,22,1.6,1.8,1.6,1.4,2.0,1.7,14%,41%,9%,삼우티이에스
3280,한국예탁결제원,4.2,122,4.2,4.4,4.4,3.7,3.6,3.3,89%,67%,39%,제원
351882,(주)오몰래,4.0,2,4.0,3.0,2.5,3.0,3.5,3.5,0%,100%,50%,오몰래
167314,유림개발(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,유림개발
88435,(주)에스티유니타스,2.5,1545,2.5,2.2,2.3,2.9,2.6,2.2,23%,33%,18%,에스티엔
67424,아이플래테아코리아(주),3.6,5,3.6,3.4,4.0,3.4,3.8,3.4,60%,100%,20%,아이플래테아
63555,엠에스라인이엔지,2.3,3,2.3,2.0,3.0,2.7,2.7,3.0,100%,100%,0%,엠에스라인이엔지
30162,삼성에스디에스(주),3.6,2155,3.6,3.9,3.5,3.4,3.3,2.7,66%,44%,28%,에스디
90469,현대씨앤알(주),2.8,269,2.8,2.7,3.2,2.6,2.1,2.3,32%,36%,7%,경일산업개발
63017,영신화공(주),2.3,7,2.3,1.6,2.7,2.6,1.7,2.4,43%,57%,0%,영신화공
53217,(주)케이케이디씨,1.8,70,1.8,1.5,2.4,2.0,2.1,1.7,13%,17%,9%,케이디씨
239959,주주텍스타일(주),2.1,14,2.1,1.4,1.9,2.1,1.8,1.8,7%,25%,7%,주주텍스타일
379889,오션미래기술(주),2.2,19,2.2,1.6,3.4,2.5,1.9,1.7,0%,5%,5%,미래기술
361018,(주)클레버,1.5,38,1.5,1.4,1.9,2.0,1.9,1.6,13%,24%,24%,클레버
331656,비케이전기통신(주),4.0,1,4.0,3.0,4.0,4.0,4.0,4.0,0%,100%,0%,비케이전기통신
97499,대일특수강(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대일특수강
696,홍진테크(주),5.0,1,5.0,4.0,5.0,5.0,5.0,4.0,100%,100%,0%,홍진테크
229007,티에스에이상해손해사정(주),2.4,138,2.4,2.1,1.8,2.5,2.4,2.3,17%,33%,5%,티에스에이
13637,(주)현대이지웰,2.6,502,2.6,2.3,3.0,2.8,2.2,2.0,32%,32%,22%,이지웰
296812,광우정보통신(주),2.9,9,2.9,1.8,3.0,2.8,2.1,1.9,22%,38%,0%,광우정보통신
327327,(주)원진바이오테크놀로지,2.8,38,2.8,3.3,2.9,2.7,3.0,2.4,39%,47%,32%,진바이오테크
421296,(재)노원교육복지재단,5.0,1,5.0,4.0,3.0,3.0,2.0,2.0,100%,0%,0%,노원교육복지재단
252572,성모산업개발(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,성모산업개발
66240,에스디씨컨스트룩,1.9,13,1.9,2.3,2.8,2.3,1.8,1.6,23%,15%,15%,에스디씨컨스트룩
239444,태명실업(주),2.4,39,2.4,2.6,2.4,2.1,2.6,2.4,26%,44%,18%,태명
449146,피유테크(주),1.5,2,1.5,1.0,1.0,2.0,2.0,1.5,0%,0%,0%,피유테크
312106,(주)엠엘소프트,2.7,39,2.7,2.8,2.3,2.9,3.2,2.4,28%,45%,23%,엘소
386028,(주)에이켐텍,2.0,2,2.0,1.0,3.0,3.0,3.0,3.0,0%,50%,0%,에이켐텍
444665,(주)엔시큐리티,3.0,1,3.0,3.0,4.0,4.0,2.0,4.0,100%,0%,0%,엔시큐리티
93527,(사)코티티시험연구원,2.1,543,2.1,2.3,2.0,2.0,2.0,1.6,16%,16%,12%,티시
238385,글로벌허브(주),2.0,1,2.0,1.0,3.0,2.0,2.0,1.0,0%,0%,0%,글로벌허브
467455,혜성원,3.0,1,3.0,4.0,4.0,1.0,2.0,3.0,100%,100%,0%,혜성원
422140,(주)케이스타일허브,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,케이스타일허브
89423,이음소시어스(주),3.1,128,3.1,2.7,3.5,3.3,3.2,2.4,35%,34%,29%,이음
333390,(주)쓰리디허브시스템즈,2.0,2,2.0,2.0,2.0,2.0,2.0,1.0,0%,0%,0%,허브시스템즈
385706,(주)메타약품,2.5,8,2.5,2.5,3.4,2.4,2.1,2.3,50%,50%,38%,메타약품
358744,에스케이넥실리스(주),3.5,81,3.5,3.9,3.5,3.0,3.2,3.0,59%,57%,62%,케이씨에프
197880,대야엠티(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대야엠티
317726,(주)피앤디코스켐,3.2,6,3.2,2.5,4.0,3.7,3.3,2.5,17%,17%,0%,코스켐
101035,영남통신(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,영남통신
183442,금양기업(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,금양기업
408710,옴니매니지먼트(주),1.5,4,1.5,1.0,1.0,1.5,1.5,1.5,0%,25%,25%,옴니매니지먼트
340621,서가앤쿡 (매장),3.2,207,3.2,2.9,2.8,3.1,2.9,2.9,51%,61%,7%,에스앤에스
39735,대양물산,3.0,1,3.0,3.0,3.0,3.0,4.0,4.0,100%,100%,0%,대양물산
68381,아성모드(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,아성모드
24385,신용상사,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,신용상사
366569,(주)유모스트,1.9,10,1.9,1.4,1.7,1.5,1.5,2.0,0%,20%,10%,유모스트
100513,동우엔지니어링(주),2.4,11,2.4,2.1,2.7,2.5,2.2,2.2,0%,27%,0%,동우엔지니어링
211082,에이치아이이엔티컴퍼니(주),1.9,7,1.9,1.1,2.1,1.9,1.9,1.4,0%,0%,0%,이엔티컴
377796,(주)잭슨카멜레온,1.9,15,1.9,2.1,3.3,2.5,1.5,1.5,20%,20%,0%,잭슨카멜레온
140272,대해일렉스(주),5.0,3,5.0,4.3,4.3,5.0,5.0,5.0,100%,100%,100%,대해일렉스
94334,선진전력(주),1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,선진전력
383471,(주)사이시옷,1.0,8,1.0,1.4,1.1,1.1,1.0,1.1,0%,0%,0%,사이시옷
391237,(주)티에스엠테크놀로지,2.9,7,2.9,3.6,2.9,3.0,3.0,2.9,43%,71%,43%,티에스엠테크놀로지
124891,21세기엔지니어링(주),2.4,5,2.4,2.2,2.8,2.2,2.2,2.2,20%,40%,0%,세기엔지니어링
210224,유림테크(주),2.0,4,2.0,1.8,1.8,2.0,2.3,1.5,0%,0%,25%,유림테크
61502,우성디앤씨,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,우성디앤씨
95173,(주)퓨젠바이오,3.5,11,3.5,2.6,3.6,3.2,3.7,3.4,55%,56%,45%,퓨젠바이오
249702,경양수산(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,경양수산
167424,보문건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,보문건설
437444,(주)바른이앤씨,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,100%,100%,100%,바른이앤씨
398747,(주)매디브,3.0,2,3.0,3.0,3.0,2.0,2.5,2.5,50%,50%,50%,매디브
143636,아그루코리아(주),3.9,14,3.9,4.4,3.2,3.1,3.3,3.5,71%,100%,64%,아그루코리아
101406,성산전력(주),4.0,2,4.0,4.5,4.0,4.0,4.0,3.5,50%,50%,50%,성산전력
234615,(주)멕시카나,2.5,117,2.5,1.9,2.8,2.2,2.2,2.0,18%,29%,10%,카나
428722,폼드팡 (매장),2.7,3,2.7,2.3,3.3,2.7,2.0,3.3,0%,67%,0%,와이에스씨
280294,코드쓰리(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,코드쓰리
334906,(주)휴스트,3.0,4,3.0,2.0,3.0,3.0,2.5,3.0,0%,75%,0%,휴스트
87185,에이앤지테크놀로지(주),3.2,147,3.2,3.2,2.2,2.9,3.5,3.2,44%,79%,32%,에이앤지테크
265970,그린앤테크(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,그린앤테크
189604,동성훼미리관광(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,동성훼미리관광
105286,뉴그린창신(주),2.5,16,2.5,2.1,2.5,2.3,2.1,1.8,13%,50%,13%,뉴그린
39966,대성영농조합법인,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대성영농조합법인
48895,한국경영아카데미(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,한국경영아카데미
120827,청호산업기술(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,청호산업기술
66235,(주)에스디에스산업,1.7,26,1.7,1.5,1.8,1.7,2.0,1.4,15%,12%,8%,디에스산업
322331,디비케이,1.8,115,1.8,1.9,1.9,1.8,2.3,1.5,7%,17%,4%,디비케이
116946,웰릭스파트너스(주),2.6,5,2.6,3.0,2.0,2.0,2.6,1.8,40%,50%,40%,웰릭스파트너스
50838,(주)티에스케이워터,2.4,412,2.4,2.0,2.9,2.5,2.3,2.2,19%,33%,16%,티에스케이
154032,케이세웅건설(주),2.3,4,2.3,2.3,3.5,2.3,2.0,2.0,50%,25%,25%,세웅건설
208547,티앤에이치시스템(주),1.5,6,1.5,1.3,1.5,2.2,2.3,1.7,0%,33%,0%,에이치시스템
231360,조영이엔씨(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,조영이엔씨
129002,효자건설(주),3.0,3,3.0,2.7,2.7,2.7,3.0,2.7,0%,33%,33%,효자건설
273185,토우이엔씨(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,토우이엔씨
302224,(주)제일엠앤에스,2.7,151,2.7,2.2,3.1,2.6,2.6,2.2,32%,51%,29%,제일기공
63545,(주)엠에스씨,2.2,366,2.2,2.4,2.6,2.0,2.1,1.9,23%,28%,12%,엠에스
467063,글로벌정보통신,5.0,1,5.0,4.0,5.0,5.0,5.0,5.0,0%,100%,0%,글로벌정보통신
19527,엘지디스플레이(주),3.1,4248,3.1,3.5,2.8,2.9,3.0,2.5,42%,49%,19%,지디
98598,인우이엔씨(주),4.5,2,4.5,4.0,2.5,3.0,5.0,3.0,50%,50%,50%,인우이엔씨
270749,초이테크(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,초이테크
114680,가마물류(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,가마물류
409616,농업회사법인(주)참연푸드웰,3.0,1,3.0,2.0,3.0,4.0,5.0,2.0,0%,0%,0%,참연푸드웰
173845,(재)한국산업경제개발원,2.4,39,2.4,1.9,3.3,2.5,2.5,2.3,36%,45%,13%,한국산업경제개발원
188157,문영종합개발(주),1.7,32,1.7,1.4,2.9,1.5,1.7,1.5,3%,6%,13%,문영종합개발
382186,(주)파이퀀트,5.0,1,5.0,5.0,3.0,4.0,5.0,5.0,100%,100%,100%,파이퀀트
90199,상지대학교,2.7,132,2.7,2.1,3.7,2.6,1.7,2.1,30%,33%,3%,상지학원
220462,상명테크툴(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,상명테크
254809,이앤비정보통신(주),2.3,25,2.3,2.2,2.4,2.4,2.4,2.2,36%,48%,28%,이앤비정보통신
96464,이노폴리텍(주),2.4,50,2.4,2.5,2.9,2.4,2.5,2.2,36%,43%,12%,이노폴리
356524,(주)에이몬소프트,3.0,3,3.0,2.0,2.7,3.0,2.7,4.0,0%,0%,0%,에이몬소프트
139375,학산타워(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,학산타워
377120,(주)제이슨컴퍼니,2.9,15,2.9,2.3,3.7,2.5,2.7,2.6,40%,33%,7%,제이슨컴퍼니
244578,아프로정보통신(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,아프로정보통신
119629,금광종합건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,금광종합건설
327915,(주)오썸피아,3.3,22,3.3,2.6,3.3,3.5,3.0,2.7,55%,64%,41%,오썸피아
439104,(주)유앤에스에너지,3.0,1,3.0,3.0,4.0,2.0,3.0,3.0,0%,100%,0%,유앤에스에너지
87555,에이디티캡스(주),2.6,756,2.6,2.5,2.4,2.3,2.4,2.1,23%,29%,22%,에이디
234910,테마종합건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,테마종합건설
456499,(주)성운건설산업,3.0,1,3.0,3.0,4.0,5.0,4.0,1.0,0%,0%,0%,성운건설
251321,영농조합법인참좋은가평비료,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,영농조합법인참좋은가평비료
250979,세왕금속공업(주),2.5,8,2.5,3.1,2.1,1.9,2.1,2.0,13%,38%,0%,세왕금속
272365,인송정보통신(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,인송정보통신
165657,시대건업(주),3.0,3,3.0,2.7,3.0,3.0,2.3,3.0,33%,33%,33%,시대건업
142571,강원렌탈운수(자),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,강원렌탈운수
312691,(주)한화비앤비,2.5,114,2.5,2.6,2.6,2.4,2.7,2.1,18%,27%,3%,비앤비
48588,한국코스코(주),1.0,2,1.0,1.0,2.0,3.0,3.0,1.0,0%,0%,0%,한국코스코
178301,홍우엔지니어링(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,홍우엔지니어링
403926,서진건설디자인(주),4.0,1,4.0,5.0,5.0,3.0,5.0,4.0,100%,100%,100%,서진건설
128588,세양엔지니어링(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,세양엔지니어링
336022,(주)한국유전자정보연구원,2.4,12,2.4,2.1,3.6,2.5,2.2,2.0,25%,25%,17%,한국유전자정보연구원
127065,일성전기(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,일성전기
200070,월드시스템(주),2.6,20,2.6,2.3,2.0,2.8,2.7,2.1,10%,25%,5%,월드시스템
180353,풍천정보네트웍(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,풍천정보네트웍
19853,엔쓰리엔(주),2.3,125,2.3,2.1,3.3,2.4,2.5,1.8,18%,18%,15%,엔쓰리엔
250549,플러스모던(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,플러스모던
73899,삼성월드비투비,3.0,4,3.0,2.3,2.5,2.5,2.0,2.3,0%,25%,0%,성월
54667,참다온,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,참다온
237681,협선공업(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,협선공업
412618,(주)원더씨앤티,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,원더씨앤티
15126,유성단조,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,유성단조
408254,(주)창진건축엔지니어링,1.4,5,1.4,1.6,3.0,1.8,1.2,1.4,20%,0%,0%,창진건축엔지니어링
260005,(주)렛츠정보통신,2.8,8,2.8,2.3,2.0,2.4,3.1,2.4,50%,43%,38%,렛츠정보통신
159387,대열레미콘(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대열레미콘
23651,쌍용상사,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,쌍용상사
140148,민안종합건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,민안종합건설
116362,한성엔텍(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,한성엔텍
360301,지아이시스템(주),2.4,29,2.4,1.7,2.8,3.0,2.0,1.8,14%,45%,0%,지아이시
96295,더매버릭스(주),2.6,37,2.6,3.2,1.9,2.6,3.1,2.2,35%,33%,30%,더매버릭스
309268,디에스엘시디(주),2.5,6,2.5,1.8,2.3,2.3,2.2,1.8,0%,40%,17%,디에스엘
200806,화성개발(주),3.0,5,3.0,3.2,2.6,2.0,2.8,2.8,20%,80%,20%,화성개발
392168,(주)루고랩스,5.0,1,5.0,4.0,5.0,5.0,4.0,5.0,100%,100%,100%,루고랩스
58270,(주)이테크시스템,2.6,236,2.6,2.3,2.7,2.5,2.6,2.1,25%,29%,14%,이테크시스템
72506,성신에이엘에스,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,성신에이엘에스
268043,대구청출람배움터(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대구청출람배움터
420294,(주)선봉인더스트리,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,선봉인더스트리
97081,초록뱀미디어(주),3.5,14,3.5,3.0,3.6,3.1,3.1,3.0,29%,57%,14%,초록뱀미디어
308197,(주)천하자동차,2.6,14,2.6,2.4,3.1,2.9,2.4,2.2,14%,38%,7%,천하자동차
234274,아트포름(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,아트포름
386943,(재)2018평창기념재단,2.0,2,2.0,1.5,3.5,2.5,1.5,2.0,50%,0%,0%,2018평창기념재단
368674,(주)아이지에스에프,1.5,6,1.5,1.5,1.7,1.2,1.2,1.2,0%,0%,0%,지에스에프
277563,제일전력공사(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,제일전력공사
423361,(주)한경글로벌뉴스네트워크,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,한경글로벌뉴스네트워크
463718,나래테크,4.0,1,4.0,3.0,3.0,3.0,2.0,3.0,100%,100%,0%,나래테크